system,frame,first_converged_bond_dim,converged_within_grid,mpo_bond_dimension,first_converged_dmrg_seconds
N2_corr,BS_Nover2_Comm,16,True,628,1.1297414580039913
N2_corr,BS_N_Comm,12,True,780,0.9222938329985482
N2_corr,HCT_N_Comm_Fiedler,10,True,738,0.7387953330035089
N2_corr,BS_N_Comm_Fiedler,8,True,690,0.6524665000033565
N2_diss,raw_fermionic_su2,30,True,83,0.3000772910017986
N2_diss,raw_qubit,60,True,291,13.195024208995164
N2_diss,seniority_Nover2,20,True,417,1.784770459002175
N2_diss,HCT_Nover2_Comm,30,True,885,5.111919791001128
N2_diss,HCT_N_Comm,14,True,670,3.27461041600327
N2_diss,Pauli_BLISS+HCT_N_Comm,10,True,906,5.119830957999511
N2_diss,BS_Nover2_Comm,16,True,585,1.245932666999579
N2_diss,BS_N_Comm,18,True,1073,2.5166725829985808
N2_diss,HCT_N_Comm_Fiedler,10,True,667,0.9566084999969462
N2_diss,BS_N_Comm_Fiedler,7,True,860,0.9244106250043842
N2_eqm,raw_fermionic_su2,30,True,87,0.3471634579982492
N2_eqm,raw_qubit,50,True,366,12.631052749995433
N2_eqm,seniority_Nover2,16,True,416,1.0144667080021463
N2_eqm,HCT_Nover2_Comm,20,True,742,2.035156875004759
N2_eqm,HCT_N_Comm,8,True,592,0.6003510000009555
N2_eqm,Pauli_BLISS+HCT_N_Comm,8,True,676,2.197355583004537
N2_eqm,BS_Nover2_Comm,14,True,629,1.701571249999688
N2_eqm,BS_N_Comm,8,True,862,0.9156428749993211
N2_eqm,HCT_N_Comm_Fiedler,10,True,824,1.363686749995395
N2_eqm,BS_N_Comm_Fiedler,8,True,1074,0.9002730829961365
O2_1.2075_sto_3g,raw_fermionic_su2,14,True,63,0.13277937499515247
O2_1.2075_sto_3g,raw_qubit,16,True,291,0.9482229159984854
O2_1.2075_sto_3g,seniority_Nover2,14,True,417,0.8367626249964815
O2_1.2075_sto_3g,HCT_Nover2_Comm,10,True,539,0.7248100840006373
O2_1.2075_sto_3g,HCT_N_Comm,5,True,558,0.5159818329993868
O2_1.2075_sto_3g,Pauli_BLISS+HCT_N_Comm,6,True,773,1.562595750001492
O2_1.2075_sto_3g,BS_Nover2_Comm,9,True,665,0.7518647920005606
O2_1.2075_sto_3g,BS_N_Comm,4,True,773,0.6336374590027845
O2_1.2075_sto_3g,HCT_N_Comm_Fiedler,4,True,693,0.5687340000004042
O2_1.2075_sto_3g,BS_N_Comm_Fiedler,3,True,681,0.5669335409984342
O2_1.7500_sto_3g,raw_fermionic_su2,16,True,63,0.3311960829960299
O2_1.7500_sto_3g,raw_qubit,14,True,291,1.5931387089949567
O2_1.7500_sto_3g,seniority_Nover2,16,True,417,1.2622128750008414
O2_1.7500_sto_3g,HCT_Nover2_Comm,9,True,809,0.9480757089986582
O2_1.7500_sto_3g,HCT_N_Comm,6,True,659,0.7351618340035202
